ID;ModifyDate;ComputerName;Name;Vendor;Version;Decomissioned
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Team Foundation Server 2012 Team Explorer Language Pack - ENU;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual C++ 2012 x86 Debug Runtime - 11.0.50727;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Windows Software Development Kit DirectX x64 Remote;Microsoft Corporation;8.59.25584;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Tools for Applications 2012 x86 Hosting Support - Language Pack ITA;Microsoft Corporation;11.0.51108;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio 2012 Shell (Isolated) Resources;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Build Tools - amd64;Microsoft Corporation;12.0.21005;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Team Foundation Server 2012 Team Explorer;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Tools for Applications 2012 x86 Hosting Support - Paquete de idioma ESN;Microsoft Corporation;11.0.51108;0
;2017-05-02 15:15;S3DB-INTEG-P;SQL Server 2014 Database Engine Services;Microsoft Corporation;12.1.4100.1;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio 2013 Shell (Isolated) Resources;Microsoft Corporation;12.0.21005;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio 2012 Performance Collection Tools - ENU;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Blend for Visual Studio 2012;Microsoft Corporation;5.0.30709.0;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft .NET Framework 4.5 SDK;Microsoft Corporation;4.5.50710;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio 2012 Performance Collection Tools;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server 2008 Setup Support Files ;Microsoft Corporation;10.3.5500.0;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio 2013 Devenv;Microsoft Corporation;12.0.21005;0
;2017-05-02 15:15;S3DB-INTEG-P;SQL Server 2014 Common Files;Microsoft Corporation;12.0.2000.8;0
;2017-05-02 15:15;S3DB-INTEG-P;Visual Studio 2012 Prerequisites - ENU Language Pack;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio 2010 Shell (Isolated) - ENU;Microsoft Corporation;10.0.40219;0
;2017-05-02 15:15;S3DB-INTEG-P;SQL Server 2014 Common Files;Microsoft Corporation;12.1.4100.1;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server Data Tools - enu (11.1.20627.00);Microsoft Corporation;11.1.20627.00;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Portable Library Multi-Targeting Pack;Microsoft Corporation;11.0.50709.17929;0
