ID;date;ComputerName;Name;Vendor;Version;Decomissioned
;;S-K1LIME-DB-S;SQL Server 2012 Management Studio;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Integration Services;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Management Studio;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Visual Studio 2010 Prerequisites - English;Microsoft Corporation;10.0.40219;0
;;S-K1LIME-DB-S;Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S-K1LIME-DB-S;Microsoft Visual Studio 2010 Shell (Isolated) - ENU;Microsoft Corporation;10.0.40219;0
;;S-K1LIME-DB-S;Microsoft SQL Server 2008 R2 Management Objects;Microsoft Corporation;10.51.2500.0;0
;;S-K1LIME-DB-S;Microsoft System CLR Types for SQL Server 2012 (x64);Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft SQL Server 2012 Setup (English);Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161;Microsoft Corporation;9.0.30729.6161;0
;;S-K1LIME-DB-S;SQL Server 2012 Client Tools;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft .NET Framework 4 Multi-Targeting Pack;Microsoft Corporation;4.0.30319;0
;;S-K1LIME-DB-S;SQL Server 2012 Common Files;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft Visual Studio Tools for Applications x64 Runtime 3.0;Microsoft Corporation;10.0.40220;0
;;S-K1LIME-DB-S;Microsoft SQL Server 2012 Native Client ;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft SQL Server 2012 Transact-SQL Compiler Service ;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Database Engine Services;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Full text search;Microsoft Corporation;11.1.3000.0;0
