ID;ExportDate;Decomissioned;ComputerName;Domain;Model;Manufacturer;InstallDate;SerialNumber;OperatingSystem;ServicePack;OSArchitecture;OSLanguage;InstalledMemory;CPUID;CPULogical;CPUcores
;2017-03-22;0;S2WEBDB;perimeter.boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-56 4d 86 b2 88 07 51 49-8c d3 45 aa b8 94 1f 53;Microsoft Windows Server 2008 R2 Enterprise ;;64-bit;1033;32.0;CPU0/CPU1/CPU2/CPU3;1/1/1/1;1/1/1/1
;2017-03-22;0;S1WEBDB-S;perimeter.boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-56 4d 12 11 76 dc 83 62-9a 48 df 7a f3 23 5d e8;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1/CPU2/CPU3;1/1/1/1;1/1/1/1
;2017-03-22;0;S2WEBDB-S;perimeter.boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 91 33 2b 68 d6 d8-3f ca fc 52 2c 8f 3e 78;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;32.0;CPU0/CPU1;2/2;2/2
;2017-03-22;0;S-K1WEBDB-P;perimeter.boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 59 8b ef a9 bf 02-c2 34 8d 0b 30 6f a5 b3;Microsoft Windows Server 2012 R2 Datacenter;;64-bit;1033;32.0;CPU0/CPU1;2/2;2/2
;2017-03-22;0;S1WEBDB-P;perimeter.boxer.local;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 05 47 de c1 f9 05-0d 25 1c fd 11 80 9e 47;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1/CPU2/CPU3;1/1/1/1;1/1/1/1
