ID;date;ComputerName;AdapterName;IsDHCPEnabled;IPAddress;SubnetMask;Gateway;DNSServers;MACAddress;Decomissioned
;;S2WEBDB;Intel(R) PRO/1000 MT Network Connection;FALSE;10.192.33.42;255.255.255.0;10.192.33.1;10.171.123.46;00:50:56:AA:00:07;0
;;S1WEBDB-S;Intel(R) PRO/1000 MT Network Connection;FALSE;10.192.33.45;255.255.255.0;10.192.33.1;10.171.123.46;00:50:56:AA:00:22;0
;;S2WEBDB-S;vmxnet3 Ethernet Adapter;FALSE;10.192.33.47;255.255.255.0;10.192.33.1;10.171.123.46/10.171.123.47;00:50:56:BC:42:56;0
;;S-K1WEBDB-P;vmxnet3 Ethernet Adapter;FALSE;10.192.33.48;255.255.255.0;10.192.33.1;10.171.123.46/10.171.123.47;00:50:56:BC:1A:7F;0
;;S1WEBDB-P;vmxnet3 Ethernet Adapter #3;FALSE;10.192.33.46;255.255.255.0;10.192.33.1;10.171.123.46;00:50:56:BC:1B:40;0
